m_million_key,m_opendb_key,m_flag,million_id,million_Artist,million_Track,million_Album,million_Track_Explicitness,million_Album_Year,million_Duration,opendb_id,opendb_Artist,opendb_Track,opendb_Album,opendb_Track_Explicitness,opendb_Album_Year,opendb_Duration
C28111,B765,True,C28111,Rufus,Do You Love What You Feel,,,2000,267760,B765,Rufus,Do You Love What You Feel,Masterjam,notExplicit,1979,270000
C32613,B774,True,C32613,Johnny Burnette,You're Sixteen,,,2011,119666,B774,Johnny Cymbal,You're Sixteen,The Essential Johnny Cymbal,notExplicit,2013,117000
C2484,B781,True,C2484,Frou Frou,Breathe In,,,2002,277333,B781,Blori,Breathe In,Breathe In (Remix),notExplicit,2022,107000
C4031,B782,True,C4031,Brand New,Secondary,,,2001,181280,B782,Brand New,Secondary,Your Favorite Weapon (Deluxe Edition),notExplicit,2001,189000
C8749,B791,True,C8749,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!,,,2012,158000,B791,Kids Christmas Music Players,Let It Snow! Let It Snow! Let It Snow!,Kids Christmas - Santa's Children,notExplicit,2011,107000
C21180,B793,True,C21180,D'Angelo,Africa,,,2000,373640,B793,Burt Blanca,Africa,Magic Guitars,notExplicit,1998,164000
C32557,B795,True,C32557,The Diamonds,Little Darlin',,,2009,131665,B795,The Cedar Walton Trio,Little Darlin',Blues For Myself (Piano Solo),notExplicit,2008,325000
C875,B806,True,C875,Jack Johnson,Do You Remember,,,2005,144013,B806,A1,Do You Remember,Make It Good,notExplicit,2002,183000
C313,B809,True,C313,Sum 41,In Too Deep,,,2010,206493,B809,Future Palace,In Too Deep,Distortion,notExplicit,2024,219000
C23722,B812,True,C23722,Woody Guthrie,Pretty Boy Floyd,,,2013,188000,B812,Woody Guthrie,Pretty Boy Floyd,The Father Of American Folk (Hd Remastered Edition),notExplicit,2018,191000
C6251,B813,True,C6251,Akon,Lonely,,,2014,234573,B813,Jasmine Tingchu,Lonely,Not Your Puppet,Explicit,2009,248000
C650,B821,True,C650,Breaking Benjamin,Breath,,,2011,218466,B821,Breaking Benjamin,Breath,Phobia (Clean Version),notExplicit,2006,219000
C517,B833,True,C517,Alice Cooper,Poison,,,2001,267306,B833,Kashovski,Poison,Poison,notExplicit,2022,349000
C601,B861,True,C601,Sum 41,Pieces,,,2008,181600,B861,Yannick Bovy,Pieces,All The Way,notExplicit,2014,257000
C7193,B885,True,C7193,Ella Fitzgerald,Summertime,,,2011,255033,B885,MAR MEJÍA,Summertime,Summertime,notExplicit,2019,173000
C17369,B887,True,C17369,The Smiths,London,,,1987,126933,B887,N-Dubz,London,Timeless,Explicit,2023,214000
C2220,B890,True,C2220,Calvin Harris,Summer,,,2014,219706,B890,Skinshape,Summer,Oracolo,notExplicit,0,270000
C369,B892,True,C369,Pink Floyd,On the Run,,,1973,225384,B892,Yonder Mountain String Band,On the Run,Elevation,notExplicit,1999,230000
C7193,B895,True,C7193,Ella Fitzgerald,Summertime,,,2011,255033,B895,Herbie Hancock,Summertime,Gershwin's World,notExplicit,1998,282000
C535,B908,True,C535,Coldplay,What If,,,2005,298519,B908,Praagya,What If,What If,notExplicit,2020,197000
C5546,B913,True,C5546,James Bay,Let It Go,,,2016,260413,B913,D-Block,Let It Go,D-Block CD Mixtape,notExplicit,2006,196000
C39762,B19994,False,C39762,jj,Things Will Never Be the Same Again,,,2009,214333,B19994,Maranatha! Praise Band,I Will Never Be (The Same Again),Praise 19 - Glorious Father,notExplicit,1999,255000
C39762,B86538,False,C39762,jj,Things Will Never Be the Same Again,,,2009,214333,B86538,Spacemen 3,Things'll Never Be the Same (Live),Live In Europe 1989,notExplicit,1995,338000
C3726,B9684,False,C3726,Wilco,I Am Trying to Break Your Heart,,,2014,417413,B9684,The Busters,I Want to Break Your Heart,Make a Move,notExplicit,1999,281000
C21092,B16680,False,C21092,Muddy Waters,I Just Want To Make Love To You,,,2013,167471,B16680,Charles Brown,I Just Want To Talk To You,I Just Want To Talk To You,notExplicit,1977,191000
C32513,B44328,False,C32513,Jay & The Americans,Come A Little Bit Closer,,,2013,168492,B44328,Los Pacaminos,Come a Little Bit Closer (Live),Viva (Live),notExplicit,2018,206000
C36114,B69684,False,C36114,Todd Rundgren,Can We Still Be Friends,,,2001,213960,B69684,Todd Rundgren,Can We Still Be Friends? (Live),Saban Theatre 2016 (Live),notExplicit,2019,222000
C33050,B78683,False,C33050,Craig Morgan,That's What I Love About Sunday,,,2013,197746,B78683,Jessy Dixon,That's What I Like About Jesus,In the Right Hands - Chicago Gospel Keyboard Pioneers,notExplicit,2004,167000
C43731,B85086,False,C43731,Nickelback,What Are You Waiting For?,,,2015,221440,B85086,PierreG ASMR,What Are You Waiting to Tingle?,200 Asmr Triggers in 6 Minutes,notExplicit,2023,59000
C20692,B1215,False,C20692,Wilson Pickett,In the Midnight Hour,,,2010,157160,B1215,Wolfman Jack,In the Midnight Hour (Live),In the Midnight Hour,notExplicit,2015,161000
C10268,B5589,False,C10268,13th Floor Elevators,You're Gonna Miss Me,,,2010,146533,B5589,Roky Erickson,You're Gonna Miss Me (Live),Halloween Live 1979-81,notExplicit,2008,251000
C396,B6347,False,C396,U2,Sunday Bloody Sunday,,,1998,281866,B6347,U2,Sunday Bloody Sunday (Live),The Joshua Tree (Deluxe),notExplicit,1987,254000
C6822,B9572,False,C6822,Amy Winehouse,You're Wondering Now,,,2007,150173,B9572,The Specials,You're Wondering Now (Live),More... Or Less: The Specials Live,notExplicit,2012,191000
C36210,B13201,False,C36210,The Temptations,You're My Everything,,,2008,176013,B13201,Steve Ireson,I Know You're My Everything,Elemental,notExplicit,2018,104000
C10268,B14188,False,C10268,13th Floor Elevators,You're Gonna Miss Me,,,2010,146533,B14188,13th Floor Elevators,You're Gonna Miss Me - Live,Easter Everywhere,notExplicit,2006,144000
C48236,B15726,False,C48236,Scuba,So You Think You're Special,,,2013,307879,B15726,DAMEFRISØR,Do You Think I'm Special?,Do You Think I'm Special?,notExplicit,2021,286000
C24759,B22058,False,C24759,Backstreet Boys,I'll Never Break Your Heart,,,2003,288946,B22058,Sami Moh,I Will Not Break Your Heart,Dance,notExplicit,2023,185000
C3319,B25977,False,C3319,Rita Ora,I Will Never Let You Down,,,2014,202482,B25977,Leæther Strip,I Will Never Hurt You Again,Ængelmaker,notExplicit,2009,370000
C23761,B27162,False,C23761,Buddy Guy,Let Me Love You Baby,,,2012,175080,B27162,Buddy Guy,"Let Me Love You Baby, Pt. 2","All Blues, Buddy Guy, Vol. 2",notExplicit,2017,173000
C23761,B27733,False,C23761,Buddy Guy,Let Me Love You Baby,,,2012,175080,B27733,Joe Bonamassa,Let Me Love You Baby (Live),British Blues Explosion Live,notExplicit,2018,336000
C17638,B29923,False,C17638,Genesis,Follow You Follow Me,,,1978,239666,B29923,Daryl Stuermer,Follow You Follow Me (4:28),The Nylon String Sampler,notExplicit,2005,271000
C6942,B30154,False,C6942,Britney Spears,I Love Rock 'N' Roll,,,2002,185440,B30154,Joan Jett & The Blackhearts,I Love Rock 'N' Roll (Live),"The Bottom Line, New York, December 27th, 1980 (Doxy Collection, Remastered, Live on Fm Broadcasting)",notExplicit,2015,270000
C10118,B31238,False,C10118,Bob Dylan,Simple Twist of Fate,,,1975,257626,B31238,Emma Swift,Simple Twist of Fate (Live),Blonde On The Tracks (Deluxe Edition),notExplicit,2020,263000
C30516,B33194,False,C30516,Black Uhuru,I Love King Selassie,,,1991,270640,B33194,Black Uhuru,I Love King Selassie (Live),Growing In My Backyard,notExplicit,2022,417000
C9813,B34280,False,C9813,Stacey Kent,In The Still Of The Night,,,1999,308266,B34280,Of the Wand & the Moon,In The Colours Of The Night,Nighttime Nightrhymes (2010 Re-release),notExplicit,1999,218000
C21715,B51055,False,C21715,Sarah Brightman,It's A Beautiful Day,,,2003,236440,B51055,Sarah Brightman,It's A Beautiful Day (Live),The Harem World Tour: Live From Las Vegas (Live),notExplicit,2004,267000
C28109,B52722,False,C28109,Pretty Lights,Change Is Gonna Come,,,2008,371214,B52722,Mike Farris,Change Is Gonna Come (Live),Live from Westlake Studio B,notExplicit,2009,206000
C7455,B55061,False,C7455,Slayer,Seasons In The Abyss,,,2003,404386,B55061,Slayer,Seasons In The Abyss (Live),Damnation's Edge,Explicit,2022,367000
C49810,B58217,False,C49810,Primordial,To The Ends Of The Earth,,,2009,329813,B58217,Geodesium,To The Ends Of The Universe,Fourth Universe,notExplicit,1992,185000
C1302,B62271,False,C1302,P!nk,Please Don't Leave Me,,,2009,231826,B62271,Holly Humberstone,Please Don't Leave Just Yet,Please Don't Leave Just Yet,Explicit,2021,230000
C1563,B62336,False,C1563,Roxette,Listen to Your Heart,,,2011,327179,B62336,Frank McComb,Listen to Your Heart (Live),20 Years of Love Stories,notExplicit,2020,325000
C32675,B66950,False,C32675,The Mamas & the Papas,Look Through My Window,,,1999,188493,B66950,The Jackson 5  ,Lookin' Through The Windows,Lookin' Through The Windows,notExplicit,1972,224000
C32675,B71929,False,C32675,The Mamas & the Papas,Look Through My Window,,,1999,188493,B71929,Tiffany,Lookin' Through The Windows,Dreams Never Die - 2005,notExplicit,1993,236000
C1958,B79288,False,C1958,Leonard Cohen,Famous Blue Raincoat,,,1971,310533,B79288,Flip Noorman,Famous Blue Raincoat (Live),Flip Noorman Zingt Leonard Cohen: Live Vanuit De Kleine Komedie,notExplicit,2020,328000
C17433,B88325,False,C17433,Howard Jones,Things Can Only Get Better,,,2017,236466,B88325,Zak Williams & 1Akord,Things Are Gonna Get Better,Things Are Gonna Get Better,notExplicit,2010,269000
C9426,B32600,False,C9426,Bessie Smith,Nobody Knows You When You're Down and Out,,,2010,178880,B32600,Carrie Smith,Nobody Wants You When You're Down and Out (Take 1),"When You're Down and Out [The Definitive Black & Blue Sessions] (feat. George Kelly, Ram Ramirez, Billy Butler & Al Hall)",notExplicit,2008,190000
C25065,B222,False,C25065,HORSE the band,In the Wake of the Bunt,,,2003,257973,B222,Invisible Vibes,In the Gaze of the Wolf,In the Gaze of the Wolf,notExplicit,2024,216000
C35429,B388,False,C35429,Tiamat,Do You Dream Of Me?,,,1994,306813,B388,Beverly Willis Jennie,Do You Ever Dream Of Me,Lover Come Back To Me,notExplicit,2020,125000
C36194,B533,False,C36194,Shakin' Stevens,You Drive Me Crazy,,,1984,168306,B533,Django Reinhardt,You're Driving Me Crazy,"Django, Golden Classics",notExplicit,2020,178000
C36504,B817,False,C36504,The Alan Parsons Project,You Don't Believe,,,2003,265933,B817,Stathis Koukoularis,If You Don't Believe Me,Magiatiko,notExplicit,2019,278000
C37241,B1982,False,C37241,Great Good Fine OK,You're the One for Me,,,2013,230937,B1982,Masked Intruder,You're the One to Blame,M.I.,notExplicit,2014,157000
C36194,B3339,False,C36194,Shakin' Stevens,You Drive Me Crazy,,,1984,168306,B3339,Bonita & the Blues Shacks,You're Driving Me Crazy,Bonita & The Blues Shacks,notExplicit,2015,160000
C42410,B6121,False,C42410,The Kills,I Hate the Way You Love,,,2005,217946,B6121,Ryo Kawasaki,I Like the Way You Are,Sweet Life,notExplicit,2020,320000
C36194,B6860,False,C36194,Shakin' Stevens,You Drive Me Crazy,,,1984,168306,B6860,Georgie Fame,You're Driving Me Crazy,Two Faces Of Fame,notExplicit,1967,213000
C2772,B7001,False,C2772,deadmau5,Strobe (Radio Edit),,,2009,212066,B7001,Squash,Strong Now (Radio Edit),Strong Now,notExplicit,2020,200000
C25065,B7120,False,C25065,HORSE the band,In the Wake of the Bunt,,,2003,257973,B7120,Johan Söderqvist,In the Name of the Tsar,Battlefield 1: In the Name of the Tsar (Original Game Soundtrack),notExplicit,2018,147000
C36194,B8969,False,C36194,Shakin' Stevens,You Drive Me Crazy,,,1984,168306,B8969,Ella Fitzgerald,You're Driving Me Crazy,Two of a Kind: Ella Fitzgerald & Mel Tormé,notExplicit,2022,135000
C42547,B10482,False,C42547,Maria Mena,Just a Little Bit,,,2004,237906,B10482,Bobby Womack,Just a Little Bit Salty,It's Party Time : The 70s Collection,notExplicit,2014,198000
C46197,B10825,False,C46197,NOFX,I Don't Want You Around,,,1991,99333,B10825,Medsound,I Want You Around,Beach Life,notExplicit,2018,261000
C36194,B10838,False,C36194,Shakin' Stevens,You Drive Me Crazy,,,1984,168306,B10838,Rudy Vallee,You're Driving Me Crazy,Very Best Of,notExplicit,2009,200000
C36127,B12030,False,C36127,The Supremes,Back In My Arms Again,,,2011,177600,B12030,Isaac Hayes,You're In My Arms Again,Truck Turner (Original Motion Picture Soundtrack),notExplicit,1974,293000
C35528,B13362,False,C35528,Om,On the Mountain at Dawn,,,2005,1278466,B13362,The Oh Hellos,On the Mountain Tall,Notos,notExplicit,2017,188000
C36194,B13896,False,C36194,Shakin' Stevens,You Drive Me Crazy,,,1984,168306,B13896,Ray Noble,You're Driving Me Crazy,Make Yourself A Happiness Pie,notExplicit,2018,70000
C42060,B15587,False,C42060,Destiny's Child,Home for the Holidays,,,2001,190200,B15587,Classic Christmas Songs,Lonely For The Holidays,Christmas Music For Kids,notExplicit,2022,50000
C36194,B15705,False,C36194,Shakin' Stevens,You Drive Me Crazy,,,1984,168306,B15705,Jo Jones,You're Driving Me Crazy,Buck and Jo (The Complete Panassié Sessions 1971-1974),notExplicit,2019,332000
C13248,B19641,False,C13248,Sum 41,Angels With Dirty Faces,,,2004,143293,B19641,KREEPA,Angels With Dracos,Let Me Be Great (Deluxe Version),Explicit,2022,140000
C10041,B19727,False,C10041,Pink Floyd,Coming Back to Life,,,1994,379400,B19727,A Neverending John's Dream,Coming Back to Paradise,Coming Back To Paradise,notExplicit,2024,283000
C10070,B32102,False,C10070,Bon Jovi,I'll Be There For You,,,1988,346573,B32102,Lydia Persaud,Let Me Be There For You,Moody31,notExplicit,2022,144000
C8707,B35837,False,C8707,Tony Bennett,Winter Wonderland,,,2009,132066,B35837,Mike O'Donnell,Winter Wonderland Theme,"The Engine Themes, Vol.6",notExplicit,2022,86000
C50258,B36430,False,C50258,Nat King Cole,Somewhere Along the Way,,,2007,172986,B36430,Gandalf,Flowers Along the Way,Colors of a New Dawn,notExplicit,2004,182000
C13634,B37425,False,C13634,Yellowcard,Shadows and Regrets,,,2007,239480,B37425,The Action,Shadows and Reflections,Keep On Holding On,notExplicit,2009,177000
C8572,B37659,False,C8572,The Smashing Pumpkins,Stand Inside Your Love,,,2001,253666,B37659,Stephanie Mills,Deeper Inside Your Love,What Cha Gonna Do With My Lovin',notExplicit,1979,240000
C49456,B41274,False,C49456,Niyaz,In The Shadow Of Life,,,2013,245866,B41274,The Rippingtons,In The Shadow of Giants,Built to Last (feat. Russ Freeman),notExplicit,2012,249000
C8707,B42437,False,C8707,Tony Bennett,Winter Wonderland,,,2009,132066,B42437,SATV Music,Winter Wonderland (Pop),I Love Christmas 2,notExplicit,2017,111000
C35149,B42893,False,C35149,Thursday,Into The Blinding Light,,,2006,225173,B42893,Billy Strings,In The Morning Light,Renewal,notExplicit,2021,283000
C6436,B46057,False,C6436,Billy Joel,Only the Good Die Young,,,2004,235586,B46057,Betrayal,The Good Die Young,Abandonment,Explicit,2011,211000
C6436,B47328,False,C6436,Billy Joel,Only the Good Die Young,,,2004,235586,B47328,Bonfire,The Good Die Young,The Räuber,notExplicit,2008,258000
C35149,B48776,False,C35149,Thursday,Into The Blinding Light,,,2006,225173,B48776,Olivia Gray,In The Morning Light,Temptation,notExplicit,2006,302000
C21259,B48833,False,C21259,Phoenix,Holdin' On Together,,,2006,207106,B48833,Merle Haggard,Holding Things Together,Down Every Road 1962-1994,notExplicit,1996,179000
C20340,B51610,False,C20340,Architects,One Of These Days,,,2009,154160,B51610,Jesper Lindell,One Of These Rainy Days,One Of These Rainy Days,notExplicit,2023,208000
C24920,B52720,False,C24920,Brett Dennen,Ain't Gonna Lose You,,,2008,291333,B52720,KIDZ BOP Kids,Like I'm Gonna Lose You,KIDZ BOP 31,notExplicit,2016,210000
C14236,B52971,False,C14236,Two Door Cinema Club,Changing of the Seasons,,,2013,221920,B52971,Mariama,Change With the Seasons,Mariama - EP,notExplicit,2011,249000
C16976,B53372,False,C16976,Don Henley,The Heart Of The Matter,,,1995,321466,B53372,Master Dee,The Novel Of The Master,Evolution Of Music,notExplicit,2023,368000
C5262,B53940,False,C5262,Joy Division,Twenty Four Hours,,,2001,279080,B53940,Bobby Lee Trammell,Twenty Four Hours a Day,Uh-Oh,notExplicit,2008,123000
C19940,B56093,False,C19940,Funeral for a Friend,Red Is The New Black,,,2003,313106,B56093,The Marine Rapper,Orange Is The New Black,Orange Is The New Black,notExplicit,2024,85000
C566,B61364,False,C566,Iron Maiden,The Number of the Beast,,,2008,290893,B61364,umami,Number Of The Beast,In Exchange For Everything,notExplicit,2019,298000
C1302,B65627,False,C1302,P!nk,Please Don't Leave Me,,,2009,231826,B65627,EUT,Please Don't Look At Me,Please Don't Look At Me,notExplicit,2023,166000
C16973,B67046,False,C16973,Kate Bush,King of the Mountain,,,2005,290026,B67046,Sound Healing Center,Spirits of the Mountain,"Sacred Flute: Native American Flute for Deep Sleep, Meditation, Spa, Healing, Relaxation",notExplicit,2015,577000
C2803,B67282,False,C2803,Marilyn Manson,This Is Halloween,,,2008,202333,B67282,Halloween Party,This Is Halloween Remix,Spooky Scary Halloween,notExplicit,2017,184000
C36125,B67309,False,C36125,Bee Gees,This Is Where I Came In,,,2001,297933,B67309,Yanger Toshi,This Is Where I Belong,This Is Where I Belong,notExplicit,2021,213000
C2803,B71081,False,C2803,Marilyn Manson,This Is Halloween,,,2008,202333,B71081,Halloween Party,This Is Halloween Night,"Spooky Time – Night Music, Scary Soundscapes, 2020 Halloween",notExplicit,2020,240000
C13868,B71959,False,C13868,Patti Smith,Gloria: In Excelsis Deo,,,1975,421000,B71959,Merry Christmas Singers,Gloria in Excelsis,Christmas Party,notExplicit,2009,112000
C33211,B74708,False,C33211,Lady Antebellum,Lookin' for a Good Time,,,2008,187320,B74708,Al Kooper,Lookin' for a Home,Kooper Session,notExplicit,2017,353000
C2803,B77148,False,C2803,Marilyn Manson,This Is Halloween,,,2008,202333,B77148,The Citizens of Halloween,This Is Halloween Remix,43 Setting The Tone Of Fear,notExplicit,2022,184000
C2803,B77436,False,C2803,Marilyn Manson,This Is Halloween,,,2008,202333,B77436,Halloween Party Album Singers,This Is Halloween Remix,Spooky Scary Halloween Party Collection,notExplicit,2016,184000
C2803,B77778,False,C2803,Marilyn Manson,This Is Halloween,,,2008,202333,B77778,Halloween Sounds,This Is Halloween Night,Sounds from the Grave - Scary and Dark Music Dedicated to Halloween 2020,notExplicit,2020,240000
C2803,B79482,False,C2803,Marilyn Manson,This Is Halloween,,,2008,202333,B79482,Scary Halloween Music,This Is Halloween Night,Halloween Themed Music: Spooky Halloween Songs to Play at Your Costume Party,notExplicit,2022,240000
C32178,B80717,False,C32178,Oh No Oh My,I Love You All the Time,,,2006,142800,B80717,Little Walter,Lovin' You All The Time,Windy City Blues,notExplicit,1986,285000
C32060,B82266,False,C32060,Leonard Cohen,Is This What You Wanted,,,1974,253066,B82266,Flyying Colours,This Is What You Wanted,Mindfullness,notExplicit,2016,263000
C2772,B85865,False,C2772,deadmau5,Strobe (Radio Edit),,,2009,212066,B85865,Obernik,Stereo Flo (Radio Edit),Stereo Flo,notExplicit,2009,219000
C19784,B90443,False,C19784,Scorpions,Can't Live Without You,,,1985,332906,B90443,STAMP Apiwat,How To Live Without You,Ekamai Dream 1,notExplicit,2019,240000
C14696,B97683,False,C14696,Girl Talk,What It's All About,,,2008,254705,B97683,Doug Millaway,What A Cat Is All About,Just Kids,notExplicit,2023,178000
C47498,B99593,False,C47498,A Sunny Day In Glasgow,Ghost in the Graveyard,,,2007,359053,B99593,Screaming Lord Sutch,Murder in the Graveyard,The Best of Screaming Lord Sutch,notExplicit,2012,184000
C28832,B246,False,C28832,Above & Beyond,Sun In Your Eyes,,,2019,277826,B246,Shaun Cassidy,Heaven In Your Eyes,Room Service,notExplicit,1979,176000
C10146,B390,False,C10146,Rush,Closer to the Heart,,,1990,174066,B390,Porter Wagoner,Closer by the Hour,Just the Two of Us,notExplicit,1968,140000
C1647,B810,False,C1647,Hinder,Better Than Me,,,2007,222426,B810,We the Least,Better Than My Life,Screw It Up,notExplicit,2019,212000
C32262,B1240,False,C32262,Justice,DVNO (Radio Edit),,,2008,191612,B1240,Paul Oakenfold,Dreams (Radio Edit),Trance Mission,notExplicit,2014,202000
C14778,B2010,False,C14778,The Cool Kids,A Little Bit Cooler,,,2008,171640,B2010,Landon Austin,Little Bit Longer,Songs For The Drive,notExplicit,2022,175000
C7279,B2339,False,C7279,Taylor Swift,Better Than Revenge,,,2010,217173,B2339,Super Cassette,Better in Reverse,Better in Reverse,notExplicit,2019,270000
C6522,B2559,False,C6522,George Baker Selection,Little Green Bag,,,2010,195333,B2559,Jerry Lee Lewis,Little Green Valley,Just Jerry Lee Lewis,notExplicit,2023,113000
C11502,B30266,False,C11502,Clannad,I Will Find You,,,1992,110960,B30266,Fer Casillas,I Will Find My Own,Strangers - EP,notExplicit,2017,212000
C15635,B30269,False,C15635,Do Make Say Think,The Universe!,,,2007,302946,B30269,The Soup Dragons,Mother Universe,Lovegod (Deluxe / Remastered),notExplicit,1990,227000
C11234,B30271,False,C11234,Chet Faker,I'm Into You,,,2012,263693,B30271,Jojo Hammett,I'm So In 2 You,Who Said The Funk Was Dead,notExplicit,2007,239000
C771,B30296,False,C771,Incubus,Pardon Me,,,1999,223746,B30296,R.Y OFF,Pardonner,Pardonner,notExplicit,2023,137000
C37290,B30305,False,C37290,The Human League,Empire State Human,,,2008,193600,B30305,Bill Laswell,Empire State,Nowstalgia,notExplicit,2018,493000
C46514,B30336,False,C46514,Squirrel Nut Zippers,Winter Weather,,,1998,144466,B30336,DJ TICKZZY,"Wanted Weathly,",BASHMENT TING VOL.7,Explicit,2024,368000
C4796,B30369,False,C4796,Bob Dylan,Beyond the Horizon,,,2006,334773,B30369,Weight of Emptiness,Beyond The Marinas,Withered Paradogma,notExplicit,2023,374000
C959,B30391,False,C959,Arcade Fire,Modern Man,,,2010,279760,B30391,CombiChrist,Modern Demon,Heads Off,notExplicit,2022,286000
C43830,B30394,False,C43830,Someone Still Loves You Boris Yeltsin,Modern Mystery,,,2008,259466,B30394,Suburbass,Modern Quackery,Suburbass selecta,notExplicit,2020,358000
C2001,B30456,False,C2001,The Last Shadow Puppets,Calm Like You,,,2008,146266,B30456,LexMorris,Angels Like You,Angels Like You,notExplicit,2024,132000
C40789,B30494,False,C40789,The Radio Dept.,Always A Relief,,,2006,201280,B30494,Newmode,Always (Remix),Always (Remix),notExplicit,2023,187000
C12331,B30554,False,C12331,Xiu Xiu,I Luv the Valley OH!,,,2004,179133,B30554,Ten in the Swear Jar,I Love the Valley (Live),Accordion Solo!,notExplicit,2005,202000
C17080,B30555,False,C17080,Shanice,I Love Your Smile,,,2014,258173,B30555,Džambo Aguševi Orchestra,"I Love You, Mexico",Brass Like It Hot: Fast & Furious Balkan Brass,notExplicit,2016,213000
C33484,B30556,False,C33484,Toby Keith,How Do You Like Me Now?!,,,1999,207493,B30556,Blake Neely,How Do You Lie To Me,Arrow: Season 3 (Original Television Soundtrack),notExplicit,2019,110000
C7467,B30580,False,C7467,Alice Cooper,I'm Eighteen,,,2006,251240,B30580,Roy Orbison,Almost Eighteen,100 Rock 'N Roll Classics ('51 - '61),notExplicit,2013,126000
C17855,B30587,False,C17855,Coheed and Cambria,Mother May I,,,2005,271933,B30587,Veil of Maya,Mother Pt. 4,Mother Pt. 4,notExplicit,2023,313000
C11132,B30608,False,C11132,Enya,Fallen Embers,,,2000,148573,B30608,ZiPeso,Fallen Soldiers,Penury to Peso's 2,Explicit,2020,174000
C1338,B30653,False,C1338,Garbage,Stupid Girl,,,1995,258533,B30653,Mushmellow,Stupid Bitch,Rare Garage Days,Explicit,2021,202000
C27665,B30666,False,C27665,Matisyahu,Ancient Lullaby,,,2006,257666,B30666,Studi01,Broken Lullaby,Broken Lullaby,notExplicit,2024,159000
C23171,B30758,False,C23171,Merle Haggard,Always Wanting You,,,2008,184613,B30758,John Adorney,Always Rememering You,The Fire in the Flint,notExplicit,2012,303000
C24626,B30761,False,C24626,Gin Blossoms,Follow You Down,,,2007,225520,B30761,SSGIRLS,Follow your arrows,Sing a SonG,notExplicit,2024,221000
C48521,B30762,False,C48521,Great Lake Swimmers,I Will Never See the Sun,,,2003,215720,B30762,The Incredible Staggers,I Will Never Be Free,Zombies of Love,notExplicit,2010,198000
C10805,B30790,False,C10805,The Who,I'm One,,,1973,157853,B30790,Young Buck,I'm On It,Still Ten-a-Key Pt. 2,Explicit,2012,241000
C4282,B30797,False,C4282,Evanescence,Lost in Paradise,,,2017,283933,B30797,MS Dance Project,Sunset Of Paradise,Top Hits 2020,notExplicit,2020,247000
C5386,B30810,False,C5386,Blur,Out of Time,,,2003,233373,B30810,Dad Bod,Out of Order,Pastels,notExplicit,2021,323000
C4514,B30814,False,C4514,Eels,Losing Streak,,,2008,170573,B30814,Lame3zy,Losing Interest,Losing Interest,notExplicit,2020,126000
C14594,B30822,False,C14594,Kanye West,Crack Music,,,2005,270866,B30822,Baby Lullaby,Church Music,Concentration Music - Brain Exercises Mind Workout Music for Deep Focus with Soothing Meditative New Age Sounds,notExplicit,2015,328000
C24009,B30837,False,C24009,Ray Charles,America The Beautiful,,,2013,215480,B30837,Sara Masterson,Always the Beautiful,Always the Beautiful,notExplicit,2013,119000
C1187,B30890,False,C1187,Foster the People,Waste,,,2011,205493,B30890,Kelanie Gloeckler,Castle,Castle,notExplicit,2018,541000
C27947,B30904,False,C27947,Teena Marie,I Need Your Lovin',,,1980,452186,B30904,Cristobal Pesce,I Feel You Coming,Obsession,notExplicit,2022,452000
C36612,B30905,False,C36612,"Albert Hammond, Jr.",Bright Young Thing,,,2007,191680,B30905,Cinco Paul,Bright and Shiny,Bubble Boy (Original Cast Recording),notExplicit,2017,119000
C2647,B30940,False,C2647,DJ Snake,Let Me Love You,,,2017,206986,B30940,Titus Glenn and United Voices,Let Me Worship You,After the Heart of You,notExplicit,2006,365000
C32051,B30954,False,C32051,The Band,It Makes No Difference,,,2009,392773,B30954,Ahria,I Will Make a Difference,Heaven Guide Me,notExplicit,2004,320000
C2431,B30971,False,C2431,Pet Shop Boys,Always on My Mind,,,1998,234906,B30971,Gordon James,Always in My Heart,In Joy,notExplicit,2007,222000
C36403,B31002,False,C36403,The Doors,Angels and Sailors,,,1978,166733,B31002,Kim Fowley,Angels and Trucks,West Coast Revelation,notExplicit,2011,223000
C10898,B31010,False,C10898,Petit biscuit,Sunset Lover,,,2019,237792,B31010,Jazz Followers,Sunset Cafe,Bossa Nova Jazz,notExplicit,2020,223000
C4514,B31021,False,C4514,Eels,Losing Streak,,,2008,170573,B31021,Shiloh Dynasty,Losing Interest,Losing Interest,notExplicit,2022,205000
C35085,B31024,False,C35085,Amber Pacific,Always You,,,2005,248933,B31024,Melissa Polinar,Always Need You,Calls & Echoes,notExplicit,2014,199000
C4805,B31071,False,C4805,Elliott Smith,Almost Over,,,2007,131946,B31071,Sharon Cuneta,Almost over You,The All English Album,notExplicit,2009,235000
C4602,B31096,False,C4602,Gojira,In the Wilderness,,,2005,467306,B31096,B.JACCS BAND,Crying In The Wilderness,You N Me Vol.4,notExplicit,2018,334000
C6618,B31121,False,C6618,Gavin DeGraw,Follow Through,,,2013,238013,B31121,Brandon Jenkins,Follow Through (Live),Live at the Blue Door,notExplicit,2000,180000
C26347,B31154,False,C26347,Cult of Luna,Following Betulas,,,2008,536320,B31154,Leonard Rosenman,Following The Orcs,The Lord Of The Rings,notExplicit,1978,197000
C1592,B31156,False,C1592,No Doubt,Hella Good,,,2002,243466,B31156,The Young Fables,Half as Good,Old Songs,notExplicit,2018,206000
