source_id,opendb_id,source_artist,source_track,opendb_artist,opendb_track,source_combined,opendb_combined,similarity_score,match_classification
A5390,B47883,Cole Swindell,Get Up,Cold Blue,Frozen (Chill Mix),cole swindell get up 2014,cold blue frozen (chill mix) 2020,0.303,-1
A4060,B6900,Jana Kramer,Why Ya Wanna,James Ray,If You Gotta Make a Fool of Somebody,jana kramer why ya wanna 2012,james ray if you gotta make a fool of somebody 2001,0.255,-1
A2219,B35384,Billy Joel,And So It Goes,Bill Withers,Lovely Day,billy joel and so it goes 1989,bill withers lovely day 2017,0.267,-1
A4800,B56526,Paramore,Future,Paul Grant,Middle,paramore future 2013,paul grant middle 2022,0.364,-1
A1961,B66164,Michael Jackson,I Just Can't Stop Loving You (feat. Siedah Garrett),Michelle Pan,Season's Song,michael jackson i just can't stop loving you (feat. siedah garrett) 1987,michelle pan season's song 1988,0.278,-1
A1547,B84524,David Guetta,Dangerous (feat. Sam Martin),David Brent,Native American,david guetta dangerous (feat. sam martin) 2014,david brent native american 2016,0.413,-1
A589,B76260,Rodney Atkins,Take a Back Road,Rolland Peter,Stormy Dreams (Radio Edit),rodney atkins take a back road 2011,rolland peter stormy dreams (radio edit) 2023,0.311,-1
A6165,B34342,Kenny Chesney,What I Need to Do,Kenny Chesney,The Good Stuff,kenny chesney what i need to do 1999,kenny chesney the good stuff 2009,0.556,-1
A925,B37998,Miley Cyrus,Flowers,Miracle A Kettor,Double Double,miley cyrus flowers 2023,miracle a kettor double double 2019,0.314,-1
A9118,B22708,The Beach Boys,"Dance, Dance, Dance",The Statler Brothers,Beyond Romance,"the beach boys dance, dance, dance 1965",the statler brothers beyond romance 1987,0.375,-1
A5200,B9817,Madonna,Like a Prayer,Matthew Pinder,Golden Hour,madonna like a prayer 1989,matthew pinder golden hour 2019,0.29,-1
A2753,B40249,Marc Anthony,I Need to Know,Mary Mary,In The Morning,marc anthony i need to know 1999,mary mary in the morning 2001,0.344,-1
A2185,B94198,Billy Joel,And So It Goes,Bird Sounds,Flying Birds Sounds,billy joel and so it goes 1989,bird sounds flying birds sounds 2021,0.278,-1
A1547,B26269,David Guetta,Dangerous (feat. Sam Martin),Dance Assassins,Here I Am (Extended Mix),david guetta dangerous (feat. sam martin) 2014,dance assassins here i am (extended mix) 2005,0.283,-1
A4119,B11163,Childish Gambino,This Is America,Chris Duckenfield,Let It Ride (Speakeasy Remix),childish gambino this is america 2018,chris duckenfield let it ride (speakeasy remix) 2008,0.327,-1
A1678,B7610,Toby Keith,Wish I Didn't Know Now,Tony Evans Jr.,If You're Ever in Georgia,toby keith wish i didn't know now 1993,tony evans jr. if you're ever in georgia 2023,0.289,-1
A7271,B75920,Blake Shelton,I Lived It,Blake Neely,This Is Who I Am,blake shelton i lived it 2017,blake neely this is who i am 2021,0.485,-1
A4516,B37645,Vampire Weekend,Hudson,Val Doonican,O Holy Night,vampire weekend hudson 2013,val doonican o holy night 2020,0.233,-1
A3737,B56822,Daryl Hall & John Oates,Did It In a Minute,Daryl Hall & John Oates,Did It In A Minute,daryl hall & john oates did it in a minute 1981,daryl hall & john oates did it in a minute 2003,0.915,1
A9151,B38426,Santigold,Unstoppable,Satella,Shadow Dance,santigold unstoppable 2008,satella shadow dance 2017,0.385,-1
A5031,B12870,Martina McBride,I Just Call You Mine,Malcolm Martineau,On the Idle Hill of Summer,martina mcbride i just call you mine 2009,malcolm martineau on the idle hill of summer 2011,0.347,-1
A9351,B96748,Mariah Carey,Vision of Love,Marilla Ness,Yahweh I Know You Are Near,mariah carey vision of love 1990,marilla ness yahweh i know you are near 1990,0.432,-1
A4800,B45189,Paramore,Future,Pandora,Echoes (Prologue),paramore future 2013,pandora echoes (prologue) 1996,0.267,-1
A5771,B87587,The Archies,"Sugar, Sugar",The Dahmers,Murder Ride,"the archies sugar, sugar 1969",the dahmers murder ride 2016,0.345,-1
A3839,B2347,Daughtry,What About Now,Dawn Deep,Dreams,daughtry what about now 2006,dawn deep dreams 2022,0.25,-1
A8598,B87056,Fetty Wap,Boomin,Fetty Wap,Boomin,fetty wap boomin 2015,fetty wap boomin 2015,1.0,1
A4315,B48840,Sia,Reaper,Signals Midwest,In The Pauses,sia reaper 2016,signals midwest in the pauses 2013,0.324,-1
A9118,B75305,The Beach Boys,"Dance, Dance, Dance",The Lowkeys,Stolen Goods,"the beach boys dance, dance, dance 1965",the lowkeys stolen goods 2020,0.282,-1
A2052,B6568,Mat Kearney,Closer to Love,Masha and the Bear,Monkey Around,mat kearney closer to love 2009,masha and the bear monkey around 2023,0.324,-1
A3789,B88836,Billy Idol,Rebel Yell,Bill Traylor,What A Friend We Have In Jesus,billy idol rebel yell 1983,bill traylor what a friend we have in jesus 2017,0.271,-1
A3737,B94137,Daryl Hall & John Oates,Did It In a Minute,David Banner,Like A Pimp (feat. Lil' Flip),daryl hall & john oates did it in a minute 1981,david banner like a pimp (feat. lil' flip) 2003,0.191,-1
A9351,B92510,Mariah Carey,Vision of Love,Massimo Zamboni,Berlin,mariah carey vision of love 1990,massimo zamboni berlin 2019,0.25,-1
A2918,B11941,Carrie Underwood,I Know You Won't,Cannibal Ox,Harlem Knights,carrie underwood i know you won't 2007,cannibal ox harlem knights 2015,0.237,-1
A3177,B16605,Rednex,Cotton Eye Joe,Relaxing Jazz Music,Little Chillin,rednex cotton eye joe 1994,relaxing jazz music little chillin 2024,0.256,-1
A2753,B38974,Marc Anthony,I Need to Know,Matt Papa,To the Least of These,marc anthony i need to know 1999,matt papa to the least of these 2010,0.278,-1
A895,B14230,Madonna,Like a Prayer,Magic System,Africa,madonna like a prayer 1989,magic system africa 2018,0.231,-1
A5551,B82828,Jazmine Sullivan,Need U Bad,Jazmine Sullivan,Need U Bad,jazmine sullivan need u bad 2008,jazmine sullivan need u bad 2008,1.0,1
A5810,B33116,The Archies,"Sugar, Sugar",The Weavers,Almost Done,"the archies sugar, sugar 1969",the weavers almost done 1990,0.345,-1
A54,B31023,Jason Derulo,Ridin' Solo,Jason Derulo,Stupid Love,jason derulo ridin' solo 2010,jason derulo stupid love 2013,0.655,0
A1079,B82324,New Boyz,Better With the Lights Off (feat. Chris Brown),Nelly Furtado,In God's Hands (Single Version) (feat. Keith Urban),new boyz better with the lights off (feat. chris brown) 2011,nelly furtado in god's hands (single version) (feat. keith urban) 2008,0.343,-1
A1966,B62382,Daryl Hall & John Oates,Out of Touch,Daryl Hall & John Oates,One On One,daryl hall & john oates out of touch 1984,daryl hall & john oates one on one 2003,0.732,0
A3737,B59446,Daryl Hall & John Oates,Did It In a Minute,Daryl Hall & John Oates,Did It In A Minute,daryl hall & john oates did it in a minute 1981,daryl hall & john oates did it in a minute 1981,1.0,1
A9275,B84033,Lin-Manuel Miranda,Almost Like Praying (feat. Artists for Puerto Rico),Livestep,Like A Star,lin-manuel miranda almost like praying (feat. artists for puerto rico) 2017,livestep like a star 2022,0.227,-1
A1966,B9341,Daryl Hall & John Oates,Out of Touch,Daryl Hall & John Oates,Africa,daryl hall & john oates out of touch 1984,daryl hall & john oates africa 1980,0.732,0
A8831,B23916,Trans-Siberian Orchestra,A Star to Follow,Tristen,Wicked Heart,trans-siberian orchestra a star to follow 1996,tristen wicked heart 2014,0.304,-1
A5031,B19116,Martina McBride,I Just Call You Mine,Maxi Trusso,Let Me Know,martina mcbride i just call you mine 2009,maxi trusso let me know 2014,0.293,-1
A3798,B38959,Tech N9ne,"Fragile (feat. Kendrick Lamar, ¡MAYDAY! & Kendall Morgan)",Tenpenny Joke,Emergency,"tech n9ne fragile (feat. kendrick lamar, ¡mayday! & kendall morgan) 2013",tenpenny joke emergency 2009,0.208,-1
A5771,B9298,The Archies,"Sugar, Sugar",The Hit Crew,If You're Happy And You Know It,"the archies sugar, sugar 1969",the hit crew if you're happy and you know it 2016,0.224,-1
A2052,B8623,Mat Kearney,Closer to Love,Mat Kearney,Closer to Love,mat kearney closer to love 2009,mat kearney closer to love 2009,1.0,1
A589,B10180,Rodney Atkins,Take a Back Road,Roly Daniels,Do You Fool Around,rodney atkins take a back road 2011,roly daniels do you fool around 2017,0.389,-1
A9578,B78080,Sia,You're Never Fully Dressed Without a Smile (2014 Film Version),Sizzla,Praises to Selassie,sia you're never fully dressed without a smile (2014 film version) 2014,sizzla praises to selassie 2022,0.268,-1
A3737,B59160,Daryl Hall & John Oates,Did It In a Minute,David Lanz,Nights In White Satin,daryl hall & john oates did it in a minute 1981,david lanz nights in white satin 1990,0.362,-1
A2287,B76209,Nickelback,Follow You Home,Nikolas Schreck,In Our Evanescence,nickelback follow you home 2005,nikolas schreck in our evanescence 2019,0.282,-1
A4425,B95447,Gabby Barrett,The Good Ones,Garry B,Missing,gabby barrett the good ones 2020,garry b missing 2019,0.312,-1
A5771,B67540,The Archies,"Sugar, Sugar",The Boss Band,Tunnel Of Love,"the archies sugar, sugar 1969",the boss band tunnel of love 2011,0.242,-1
A3202,B55989,Rednex,Cotton Eye Joe,Return,Father Father,rednex cotton eye joe 1994,return father father 2015,0.231,-1
A3789,B92182,Billy Idol,Rebel Yell,Billy Gilman,Anyway (The Voice Performance),billy idol rebel yell 1983,billy gilman anyway (the voice performance) 2016,0.25,-1
A5810,B57084,The Archies,"Sugar, Sugar",The Upsetters,Psyche & Trim (2022 Remaster),"the archies sugar, sugar 1969",the upsetters psyche & trim (2022 remaster) 1978,0.312,-1
A4060,B34111,Jana Kramer,Why Ya Wanna,Jason Boland,Mexico or Crazy,jana kramer why ya wanna 2012,jason boland mexico or crazy 2002,0.333,-1
A3839,B33962,Daughtry,What About Now,Dave Porter,Flowers And Eggs,daughtry what about now 2006,dave porter flowers and eggs 2015,0.273,-1
A3103,B61643,Jason Mraz,Coyotes,Jake Shimabukuro,On The Road To Freedom (feat. Warren Haynes),jason mraz coyotes 2008,jake shimabukuro on the road to freedom (feat. warren haynes) 2021,0.258,-1
A4800,B86124,Paramore,Future,Patsy Cline,A Poor Man's Roses,paramore future 2013,patsy cline a poor man's roses 1996,0.229,-1
A6059,B99752,Madonna,Frozen,Markus Schulz,Parademisa,madonna frozen 1998,markus schulz parademisa 2019,0.207,-1
A309,B6936,Rodney Atkins,Watching You,Rorschach,No One Dies Alone,rodney atkins watching you 2006,rorschach no one dies alone 1990,0.25,-1
A5810,B14194,The Archies,"Sugar, Sugar",The Brokedown,Sparks,"the archies sugar, sugar 1969",the brokedown sparks 2005,0.31,-1
A5623,B64012,Bullet for My Valentine,Hearts Burst Into Fire,Buddy Holly,Listen To Me,bullet for my valentine hearts burst into fire 2008,buddy holly listen to me 1993,0.294,-1
A6734,B94447,Panic! At the Disco,One of the Drunks,Patti LuPone,Berlin: Call Me Madam Dances,panic! at the disco one of the drunks 2018,patti lupone berlin: call me madam dances 1995,0.239,-1
A4119,B26617,Childish Gambino,This Is America,Christophe Filippi,Beyond,childish gambino this is america 2018,christophe filippi beyond 2017,0.324,-1
A5810,B71220,The Archies,"Sugar, Sugar",The Everly Brothers,Take A Message To Mary (1959 Recording Remastered),"the archies sugar, sugar 1969",the everly brothers take a message to mary (1959 recording remastered) 2020,0.227,-1
A8216,B5320,America,Sister Golden Hair,Amir Yussof,Little Bird (Unplugged),america sister golden hair 1975,amir yussof little bird (unplugged) 1995,0.325,-1
A4060,B34889,Jana Kramer,Why Ya Wanna,James Ingram,Lately,jana kramer why ya wanna 2012,james ingram lately 1986,0.241,-1
A5031,B90873,Martina McBride,I Just Call You Mine,Maná,Oye Mi Amor,martina mcbride i just call you mine 2009,maná oye mi amor 2012,0.293,-1
A7128,B17681,David Bowie,Modern Love,David Bowie,Modern Love,david bowie modern love 1983,david bowie modern love 1983,1.0,1
A4329,B11625,Sia,Hostage,Sizzla,Attack,sia hostage 2014,sizzla attack 2009,0.444,-1
A925,B32788,Miley Cyrus,Flowers,Mike Howe,Beyond the Mountains,miley cyrus flowers 2023,mike howe beyond the mountains 2011,0.314,-1
A9578,B4027,Sia,You're Never Fully Dressed Without a Smile (2014 Film Version),Singlish - Building Language the Fun Way!,London Bridge (Instrumental Only),sia you're never fully dressed without a smile (2014 film version) 2014,singlish - building language the fun way! london bridge (instrumental only) 2005,0.262,-1
A3789,B56958,Billy Idol,Rebel Yell,Big Al Downing,Please Come Home,billy idol rebel yell 1983,big al downing please come home 2010,0.25,-1
A2751,B77291,Mariah Carey,Always Be My Baby,Masters of Binaurality,Stormy Skies,mariah carey always be my baby 1995,masters of binaurality stormy skies 2020,0.275,-1
A3678,B88182,Big Time Rush,Windows Down,Big Jay McNeely,Deacon's Hop,big time rush windows down 2012,big jay mcneely deacon's hop 2009,0.364,-1
A3678,B92424,Big Time Rush,Windows Down,Birds In Row,Triste Sire,big time rush windows down 2012,birds in row triste sire 2018,0.323,-1
A5220,B26250,Madonna,Like a Prayer,Marion Meadows,Bounce,madonna like a prayer 1989,marion meadows bounce 2006,0.192,-1
A5771,B19372,The Archies,"Sugar, Sugar",The Three Sounds,Let Me Off Uptown,"the archies sugar, sugar 1969",the three sounds let me off uptown 1962,0.333,-1
A3740,B66223,Daughtry,What About Now,David Penn,People Lovin' People (Vanilla Ace Remix) (feat. Robert Owens),daughtry what about now 2006,david penn people lovin' people (vanilla ace remix) (feat. robert owens) 2014,0.182,-1
A3815,B90886,Tech N9ne,"Fragile (feat. Kendrick Lamar, ¡MAYDAY! & Kendall Morgan)",Terry Baucom,Around The Corner,"tech n9ne fragile (feat. kendrick lamar, ¡mayday! & kendall morgan) 2013",terry baucom around the corner 2017,0.25,-1
A4843,B90138,Regina Spektor,Better,Relaxation Ensemble,Indigo Eyes (feat. Llewellyn),regina spektor better 2006,relaxation ensemble indigo eyes (feat. llewellyn) 2013,0.259,-1
A80,B69010,Michael Jackson,Man In the Mirror,Miguel Cassina,Gloria y poder,michael jackson man in the mirror 1987,miguel cassina gloria y poder 1989,0.421,-1
A2219,B19524,Billy Joel,And So It Goes,Bill $aber,Bounce,billy joel and so it goes 1989,bill $aber bounce 2017,0.3,-1
A5200,B93456,Madonna,Like a Prayer,Mambo Sauce,Things Will Get Better (feat. Deangelo Redman),madonna like a prayer 1989,mambo sauce things will get better (feat. deangelo redman) 2011,0.222,-1
A2154,B17542,Meghan Trainor,What If I,Megan Slankard,What a Way to Fail,meghan trainor what if i 2015,megan slankard what a way to fail 2015,0.526,-1
A544,B14851,Panic! At the Disco,This Is Gospel,Paul Monroe,In Too Deep (feat. Ray Andres),panic! at the disco this is gospel 2013,paul monroe in too deep (feat. ray andres) 2020,0.298,-1
A5771,B80775,The Archies,"Sugar, Sugar",The Original Gospel Harmonettes,That's Enough,"the archies sugar, sugar 1969",the original gospel harmonettes that's enough 1991,0.32,-1
A4479,B60069,Chicago,We Can Last Forever,Chorale Esperance,Finale,chicago we can last forever 1988,chorale esperance finale 2007,0.281,-1
A3789,B43683,Billy Idol,Rebel Yell,Bing Crosby,O Holy Night,billy idol rebel yell 1983,bing crosby o holy night 2023,0.276,-1
A2154,B38690,Meghan Trainor,What If I,Mellow Adlib Club,Common Sense,meghan trainor what if i 2015,mellow adlib club common sense 2022,0.257,-1
A2052,B43452,Mat Kearney,Closer to Love,Magnus Deus,Mantra for Success,mat kearney closer to love 2009,magnus deus mantra for success 2020,0.286,-1
A4060,B3674,Jana Kramer,Why Ya Wanna,Jazzanova,Little Bird (Funkhaus Sessions),jana kramer why ya wanna 2012,jazzanova little bird (funkhaus sessions) 2012,0.348,-1
A80,B80250,Michael Jackson,Man In the Mirror,Mickymar Productions Ltd,"Settle, Old Soldier",michael jackson man in the mirror 1987,"mickymar productions ltd settle, old soldier 2023",0.306,-1
A309,B17860,Rodney Atkins,Watching You,Roy Orbison,Crying,rodney atkins watching you 2006,roy orbison crying 2008,0.419,-1
A1079,B490,New Boyz,Better With the Lights Off (feat. Chris Brown),Neon Electronics vs The Hacker,Better Way (Neon Electronics vs The Hacker Mix),new boyz better with the lights off (feat. chris brown) 2011,neon electronics vs the hacker better way (neon electronics vs the hacker mix) 2009,0.277,-1
A7271,B40070,Blake Shelton,I Lived It,Blake Shelton,I Need My Girl,blake shelton i lived it 2017,blake shelton i need my girl 2014,0.697,0
A3798,B16068,Tech N9ne,"Fragile (feat. Kendrick Lamar, ¡MAYDAY! & Kendall Morgan)",Tennis,How to Forgive,"tech n9ne fragile (feat. kendrick lamar, ¡mayday! & kendall morgan) 2013",tennis how to forgive 2020,0.194,-1
A4287,B28331,Alan Jackson,Little Bitty,Alina Baraz,Coming To My Senses,alan jackson little bitty 1996,alina baraz coming to my senses 2018,0.25,-1
A5954,B53060,Camila Cabello,Crying in the Club,Carter Burwell,Waking Up Dead,camila cabello crying in the club 2017,carter burwell waking up dead 2019,0.421,-1
A1966,B63460,Daryl Hall & John Oates,Out of Touch,David Kramer,Citrusdal,daryl hall & john oates out of touch 1984,david kramer citrusdal 2017,0.195,-1
A2052,B3971,Mat Kearney,Closer to Love,Mark Mancina,Second Call,mat kearney closer to love 2009,mark mancina second call 1998,0.258,-1
A1250,B52714,Michael Jackson,Man In the Mirror,Michele Mercure,Ghosts Before Breakfast,michael jackson man in the mirror 1987,michele mercure ghosts before breakfast 2018,0.25,-1
A1966,B88353,Daryl Hall & John Oates,Out of Touch,David Polansky,Jaguar,daryl hall & john oates out of touch 1984,david polansky jaguar 1998,0.268,-1
A2681,B40140,Gia Farrell,Hit Me Up,Givwits,No Way Out,gia farrell hit me up 2006,givwits no way out 2023,0.308,-1
A5200,B73160,Madonna,Like a Prayer,Manian,Just Another Night (Anthem 4) (Manian Mix),madonna like a prayer 1989,manian just another night (anthem 4) (manian mix) 2013,0.204,-1
A5810,B71866,The Archies,"Sugar, Sugar",The Nolans,"Spirit, Body And Soul","the archies sugar, sugar 1969","the nolans spirit, body and soul 2004",0.27,-1
A7239,B49288,Mariah Carey,Vision of Love,Marty Robbins,It's a Sin,mariah carey vision of love 1990,marty robbins it's a sin 1969,0.312,-1
A6313,B79649,TOOL,Pneuma,Toad The Wet Sprocket,Enough,tool pneuma 2019,toad the wet sprocket enough 2013,0.303,-1
A544,B75940,Panic! At the Disco,This Is Gospel,Panic! At The Disco,This Is Gospel,panic! at the disco this is gospel 2013,panic! at the disco this is gospel 2013,1.0,1
A8951,B41109,Blake Shelton,I Need My Girl,Blue Öyster Cult,In Thee (Live),blake shelton i need my girl 2014,blue öyster cult in thee (live) 2023,0.333,-1
A54,B11339,Jason Derulo,Ridin' Solo,Jason Derulo,Ridin' Solo,jason derulo ridin' solo 2010,jason derulo ridin' solo 2010,1.0,1
A6944,B81727,Leona Lewis,Here I Am,Leonald,Bubble~森の声~,leona lewis here i am 2007,leonald bubble~森の声~ 2021,0.385,-1
A8161,B45917,Pentatonix,Sleigh Ride,Pentatonix,Sleigh Ride,pentatonix sleigh ride 2014,pentatonix sleigh ride 2014,1.0,1
A309,B54557,Rodney Atkins,Watching You,Ron van den Beuken,Rewind (Extended Mix) (feat. Menno),rodney atkins watching you 2006,ron van den beuken rewind (extended mix) (feat. menno) 2022,0.271,-1
A9118,B74971,The Beach Boys,"Dance, Dance, Dance",The Best of Northern Soul,That's The Way It Is featuring The Sweet Three (feat. The Sweet Three),"the beach boys dance, dance, dance 1965",the best of northern soul that's the way it is featuring the sweet three (feat. the sweet three) 2006,0.208,-1
A1966,B40471,Daryl Hall & John Oates,Out of Touch,Dance Hits 2015,Holding On,daryl hall & john oates out of touch 1984,dance hits 2015 holding on 2019,0.268,-1
A6059,B37238,Madonna,Frozen,Matteo Tarantino,My Way,madonna frozen 1998,matteo tarantino my way 2016,0.25,-1
A1737,B20226,Avenged Sevenfold,Scream,Avenged Sevenfold,Higher,avenged sevenfold scream 2007,avenged sevenfold higher 2016,0.724,0
A3678,B62924,Big Time Rush,Windows Down,Big Time Rush,Windows Down,big time rush windows down 2012,big time rush windows down 2012,1.0,1
A3740,B27498,Daughtry,What About Now,David Mallett,End of the Day,daughtry what about now 2006,david mallett end of the day 2009,0.333,-1
A3334,B83351,Metallica,The God That Failed,Mel Tormé,Spoken Intro (Live - Version 2),metallica the god that failed 1991,mel tormé spoken intro (live - version 2) 1999,0.261,-1
A895,B62208,Madonna,Like a Prayer,Max LL,Meteoroids,madonna like a prayer 1989,max ll meteoroids 2022,0.231,-1
A3678,B373,Big Time Rush,Windows Down,Big Kuza,Lonely,big time rush windows down 2012,big kuza lonely 2019,0.355,-1
A3678,B3892,Big Time Rush,Windows Down,Big Scary,Heaven On Earth,big time rush windows down 2012,big scary heaven on earth 2016,0.355,-1
A5031,B51699,Martina McBride,I Just Call You Mine,Manuel Landy,Aurora,martina mcbride i just call you mine 2009,manuel landy aurora 1984,0.195,-1
A2920,B59413,Stone Sour,Bother,Stephan Vegas,Please Myself,stone sour bother 2002,stephan vegas please myself 2020,0.281,-1
A6948,B9617,Michelle Branch,Breathe,Mike Johnson,Second Lovers Song,michelle branch breathe 2003,mike johnson second lovers song 1994,0.194,-1
A925,B62682,Miley Cyrus,Flowers,Michael E,People Watching (Rubber Neck Mix),miley cyrus flowers 2023,michael e people watching (rubber neck mix) 2014,0.25,-1
A8951,B44340,Blake Shelton,I Need My Girl,BluntOne,Winter Jazz,blake shelton i need my girl 2014,bluntone winter jazz 2017,0.364,-1
A1966,B16347,Daryl Hall & John Oates,Out of Touch,David Arkenstone,Second Wind,daryl hall & john oates out of touch 1984,david arkenstone second wind 2022,0.244,-1
A1250,B93040,Michael Jackson,Man In the Mirror,Mikey Dread,Rockers Roadshow,michael jackson man in the mirror 1987,mikey dread rockers roadshow 2005,0.184,-1
A1116,B22530,One Direction,What a Feeling,One Direction,What a Feeling,one direction what a feeling 2015,one direction what a feeling 2015,1.0,1
A5771,B14389,The Archies,"Sugar, Sugar",The Worship Crew,In the Midst,"the archies sugar, sugar 1969",the worship crew in the midst 2011,0.324,-1
A9118,B72082,The Beach Boys,"Dance, Dance, Dance",The Sweeps,Escape,"the beach boys dance, dance, dance 1965",the sweeps escape 2020,0.282,-1
A5771,B2572,The Archies,"Sugar, Sugar",THE GYM BEATS,In the Flow,"the archies sugar, sugar 1969",the gym beats in the flow 2010,0.267,-1
A8216,B74240,America,Sister Golden Hair,Amonkst the Trees,Burden of Will,america sister golden hair 1975,amonkst the trees burden of will 2019,0.324,-1
A3177,B236,Rednex,Cotton Eye Joe,Reba McEntire,Little Rock,rednex cotton eye joe 1994,reba mcentire little rock 1986,0.333,-1
A80,B36631,Michael Jackson,Man In the Mirror,Militant Me,Unholy Confessions,michael jackson man in the mirror 1987,militant me unholy confessions 2019,0.211,-1
A4119,B29460,Childish Gambino,This Is America,Christmas Songs Playlist,Angels Above,childish gambino this is america 2018,christmas songs playlist angels above 2023,0.31,-1
A3815,B93223,Tech N9ne,"Fragile (feat. Kendrick Lamar, ¡MAYDAY! & Kendall Morgan)",Teresa James & The Rhythm Tramps,Easier Said Than Done (Live),"tech n9ne fragile (feat. kendrick lamar, ¡mayday! & kendall morgan) 2013",teresa james & the rhythm tramps easier said than done (live) 2019,0.25,-1
A6059,B44469,Madonna,Frozen,Madonna,Frozen,madonna frozen 1998,madonna frozen 1998,1.0,1
A8584,B86680,Fetty Wap,D.A.M.,Fetty Wap,D.A.M.,fetty wap d.a.m. 2015,fetty wap d.a.m. 2015,1.0,1
A4425,B63683,Gabby Barrett,The Good Ones,galih,Melody Dark Rap Beat (Remix),gabby barrett the good ones 2020,galih melody dark rap beat (remix) 2023,0.282,-1
A309,B68695,Rodney Atkins,Watching You,Roberta Flack,Lovin' You (Is Such An Easy Thang To Do),rodney atkins watching you 2006,roberta flack lovin' you (is such an easy thang to do) 1981,0.271,-1
A3789,B78800,Billy Idol,Rebel Yell,Bino,Snakes,billy idol rebel yell 1983,bino snakes 2015,0.231,-1
A5810,B69876,The Archies,"Sugar, Sugar",The Kinks,All of My Friends Were There (2018 Stereo Remaster),"the archies sugar, sugar 1969",the kinks all of my friends were there (2018 stereo remaster) 1968,0.273,-1
A4287,B51108,Alan Jackson,Little Bitty,AllStars BallHard,Get It Sold,alan jackson little bitty 1996,allstars ballhard get it sold 2014,0.235,-1
A2219,B65458,Billy Joel,And So It Goes,Biomusique,"10,000 Steps",billy joel and so it goes 1989,"biomusique 10,000 steps 2008",0.233,-1
A9118,B90071,The Beach Boys,"Dance, Dance, Dance",THE ALFEE,Loving You,"the beach boys dance, dance, dance 1965",the alfee loving you 1989,0.282,-1
A8177,B35662,Miranda Lambert,Use My Heart,Miss Jane,It's a Fine Day (Hoshi Reloaded Mix),miranda lambert use my heart 2016,miss jane it's a fine day (hoshi reloaded mix) 2013,0.294,-1
A9351,B6189,Mariah Carey,Vision of Love,Marvin Sease,Do You Need A Licker?,mariah carey vision of love 1990,marvin sease do you need a licker? 2006,0.308,-1
A1057,B28299,Avenged Sevenfold,Almost Easy,Avey Tare,Modern Days E,avenged sevenfold almost easy 2007,avey tare modern days e 2014,0.324,-1
A2918,B4997,Carrie Underwood,I Know You Won't,Carrie Underwood,I Know You Won't,carrie underwood i know you won't 2007,carrie underwood i know you won't 2007,1.0,1
A4119,B46132,Childish Gambino,This Is America,Chill Out 2018,Desert Girl,childish gambino this is america 2018,chill out 2018 desert girl 2019,0.324,-1
A1966,B30973,Daryl Hall & John Oates,Out of Touch,Daryl Hall & John Oates,Out of Touch,daryl hall & john oates out of touch 1984,daryl hall & john oates out of touch 2008,0.902,1
A2287,B31224,Nickelback,Follow You Home,Nina Simone,I Loves You Porgy,nickelback follow you home 2005,nina simone i loves you porgy 2023,0.382,-1
A4287,B86833,Alan Jackson,Little Bitty,Aldo de Scalzi,Motion,alan jackson little bitty 1996,aldo de scalzi motion 2021,0.233,-1
A2751,B21872,Mariah Carey,Always Be My Baby,Manatee Commune,Simple Lessons,mariah carey always be my baby 1995,manatee commune simple lessons 2016,0.171,-1
A4315,B61336,Sia,Reaper,Sia,Reaper,sia reaper 2016,sia reaper 2016,1.0,1
A4843,B3894,Regina Spektor,Better,Reece Loc,In the Game (feat. E.Klips da Hustla),regina spektor better 2006,reece loc in the game (feat. e.klips da hustla) 2015,0.25,-1
A2052,B2295,Mat Kearney,Closer to Love,Marc Eric,Prisoner of Love,mat kearney closer to love 2009,marc eric prisoner of love 2020,0.484,-1
A4287,B5323,Alan Jackson,Little Bitty,Alan Jackson,Little Bitty,alan jackson little bitty 1996,alan jackson little bitty 2004,0.867,1
A5810,B22150,The Archies,"Sugar, Sugar",The Mellowells,Coming of Age,"the archies sugar, sugar 1969",the mellowells coming of age 2016,0.303,-1
A5390,B95594,Cole Swindell,Get Up,Commence,Withering Images,cole swindell get up 2014,commence withering images 2022,0.333,-1
A1966,B14979,Daryl Hall & John Oates,Out of Touch,Dan Siegel,If You Say So,daryl hall & john oates out of touch 1984,dan siegel if you say so 1993,0.293,-1
A80,B98002,Michael Jackson,Man In the Mirror,Ministério Vineyard,Yahweh (Ao Vivo),michael jackson man in the mirror 1987,ministério vineyard yahweh (ao vivo) 2022,0.22,-1
A2154,B43871,Meghan Trainor,What If I,Meli ARAKI,La Vie en Rose,meghan trainor what if i 2015,meli araki la vie en rose 2022,0.3,-1
A4119,B45925,Childish Gambino,This Is America,Chet Baker,"Silent Night, Pt. 2",childish gambino this is america 2018,"chet baker silent night, pt. 2 2017",0.243,-1
A9351,B60290,Mariah Carey,Vision of Love,Maurice Owens,Island,mariah carey vision of love 1990,maurice owens island 2024,0.281,-1
A1057,B22889,Avenged Sevenfold,Almost Easy,Avril Lavigne,Let Me Go (feat. Chad Kroeger),avenged sevenfold almost easy 2007,avril lavigne let me go (feat. chad kroeger) 2013,0.265,-1
A2751,B74813,Mariah Carey,Always Be My Baby,Matumbi,Boy Oh Boy,mariah carey always be my baby 1995,matumbi boy oh boy 2012,0.257,-1
